,name,type
3064,Kps Suat Bey,Oil/Chemical Tanker
3066,Dias,Bulk Carrier
3067,Ubc Ottawa,Bulk Carrier
3072,Poulopom,Oil/Chemical Tanker
3074,Mount Austin,Bulk Carrier
3075,Ozge Aksoy,Bulk Carrier
3076,Cape,Bulk Carrier
3077,Sunda,Bulk Carrier
3080,Ocean Marvel,Bulk Carrier
3085,Mount Uluru,Bulk Carrier
3086,Aurelia,Bulk Carrier
3087,Championship,Bulk Carrier
3088,Squireship,Bulk Carrier
3089,Bulk Uruguay,Bulk Carrier
3091,Ubc Onsan,Bulk Carrier
3092,Ubc Ohio,Bulk Carrier
3093,Ubc Olimbus,Bulk Carrier
3094,Ubc Oristano,Bulk Carrier
3095,Ubc Odessa,Bulk Carrier
3106,Elpis I,Bulk Carrier
3112,Electra,Bulk Carrier
3113,Bulk Colombia,Bulk Carrier
3118,Omicron Sky,Bulk Carrier
3119,Chem Sirius,Oil/Chemical Tanker
3123,Lady Violet,Oil/Chemical Tanker
3124,Lady Dahlia,Oil/Chemical Tanker
3125,Korona D,Bulk Carrier
3126,Stentor,Bulk Carrier
3130,Vamos,Bulk Carrier
3131,Louise B,Bulk Carrier
3132,Lalis D,Bulk Carrier
3134,Daytona Beach,Bulk Carrier
3135,Um Elhanaya,Bulk Carrier
3136,Mount Kinabalu,Bulk Carrier
3137,Avra,Bulk Carrier
3142,Agia Skepi,Bulk Carrier
3144,Kerkyra,Bulk Carrier
3146,Vantage Crest,Bulk Carrier
3152,MT Tapti,Oil/Chemical Tanker
3155,Al Zarandi,Oil/Chemical Tanker
3156,Kythira I,Bulk Carrier
3165,Sam Lion,Bulk Carrier
3167,Cape Stork,Bulk Carrier
3181,Maroulio S,Bulk Carrier
3194,Mount Nevis,Bulk Carrier
3196,Tinos,Bulk Carrier
3197,Syros I,Bulk Carrier
3198,Avlemon,Bulk Carrier
3202,Go Skar,Bulk Carrier
3205,Aria,Oil/Chemical Tanker
3208,Shinano,Bulk Carrier
3209,Dream Catcher,Bulk Carrier
3218,Aquafaith,Bulk Carrier
3226,Aquagrace,Bulk Carrier
3227,Chem Polaris,Oil/Chemical Tanker
3228,Blessed Luck,Bulk Carrier
3230,Kps Orhan Ali Khan,Bulk Carrier
3234,Ocean Queen,Bulk Carrier
3238,Mt Galbot,Oil/Chemical Tanker
3246,Gant Flair,Bulk Carrier
3247,MVVictoria,Bulk Carrier
3248,Sam Eagle,Bulk Carrier
3249,Sam Falcon,Bulk Carrier
3250,Sam Jaguar,Bulk Carrier
3251,Sam Hawk,Bulk Carrier
3252,Nika,Bulk Carrier
3257,Tarik III,Bulk Carrier
3281,DivineMercy,Oil/Chemical Tanker
3286,Doro,Bulk Carrier
3287,Marina L,Bulk Carrier
3290,Gemini,Bulk Carrier
3291,Agia Irini,Bulk Carrier
3295,Felicia,Bulk Carrier
3310,Arvika,Bulk Carrier
3311,Ancona,Bulk Carrier
3315,Ravna,Oil/Chemical Tanker
3316,Risa,Oil/Chemical Tanker
3318,Ismini,Bulk Carrier
3319,Agia Markella,Bulk Carrier
3321,Captain George K,Bulk Carrier
3332,Golden Hope,Bulk Carrier
3340,Good Luck I,Bulk Carrier
3341,Evolution,Bulk Carrier
3343,Pictor,Bulk Carrier
3344,Blue Sky I,Oil/Chemical Tanker
3359,Bravery,Bulk Carrier
3377,Danos Z,Bulk Carrier
3379,Omicron Nikos,Bulk Carrier
3384,Santa Cruz,Bulk Carrier
3395,CaptainjNeofotistos,Bulk Carrier
3396,Wigeon,Bulk Carrier
3397,Whistler,Bulk Carrier
3402,NewleadCastellano,Bulk Carrier
3403,Gigol,Oil/Chemical Tanker
3409,Aquagenie,Bulk Carrier
3423,Vantage Key,Bulk Carrier
3425,Newlead Venetico,Bulk Carrier
3428,Mount Dampier,Bulk Carrier
3429,Mount Faber,Bulk Carrier
3431,Cape Carmel,Bulk Carrier
3432,Ipanema,Bulk Carrier
3434,Euro Fortune,Bulk Carrier
3437,Bulk Japan,Bulk Carrier
3440,Soyu,Bulk Carrier
3441,Leora,Bulk Carrier
3451,Elounda Bay,Bulk Carrier
3457,Blue Marlin I,Bulk Carrier
3458,Blue Cat,Bulk Carrier
