model,dataset,vessel_precision,vessel_recall,vessel_f1,vessel_micro_precision,vessel_micro_recall,vessel_micro_f1,port_precision,port_recall,port_f1,port_micro_precision,port_micro_recall,port_micro_f1,commodity_precision,commodity_recall,commodity_f1,commodity_micro_precision,commodity_micro_recall,commodity_micro_f1,incoterm_precision,incoterm_recall,incoterm_f1,incoterm_micro_precision,incoterm_micro_recall,incoterm_micro_f1,overall_precision,overall_recall,overall_f1,overall_micro_precision,overall_micro_recall,overall_micro_f1,total_tp,total_fp,total_fn
gliner_finetuned_mlm,fewshot_gemini,0.7546,0.9588,0.8196,0.6828,0.9588,0.7976,0.491,1.0,0.6282,0.4034,1.0,0.5749,0.8715,0.9649,0.9004,0.8125,0.9649,0.8822,0.5995,0.8825,0.6841,0.5429,0.8856,0.6731,0.6792,0.9516,0.7581,0.5233,0.9624,0.6779,2328,2121,91
gliner_finetuned_mlm,fewshot_gpt,0.7345,0.986,0.8125,0.6297,0.9859,0.7685,0.9456,1.0,0.9644,0.9058,1.0,0.9506,0.9205,0.994,0.9449,0.8671,0.994,0.9262,0.591,0.6814,0.6183,0.6157,0.6536,0.6341,0.7979,0.9153,0.835,0.7804,0.9371,0.8516,2250,633,151
gliner_finetuned_mlm,fewshot_mistral,0.7633,0.9879,0.8368,0.6797,0.9879,0.8053,0.8786,1.0,0.9165,0.7851,1.0,0.8796,0.9079,1.0,0.9379,0.8387,1.0,0.9123,0.6893,0.7874,0.7181,0.7395,0.7862,0.7621,0.8098,0.9438,0.8523,0.7631,0.955,0.8484,2358,732,111
gliner_finetuned_mlm,zeroshot_claude,0.9537,0.99,0.9657,0.927,0.99,0.9575,0.6674,0.891,0.7339,0.5967,0.89,0.7144,0.6518,0.942,0.7331,0.5257,0.942,0.6748,0.214,0.216,0.2147,0.0066,0.026,0.0105,0.6217,0.7598,0.6619,0.5055,0.8492,0.6338,1869,1828,332
gliner_finetuned_mlm,zeroshot_deepseek,0.8504,0.9398,0.8795,0.8342,0.9398,0.8839,0.9737,0.9819,0.9765,0.9838,0.9828,0.9833,0.998,1.0,0.9987,0.996,1.0,0.998,0.9759,0.9759,0.9759,0.0,0.0,0.0,0.9495,0.9744,0.9577,0.9444,0.9714,0.9577,1936,114,57
gliner_finetuned_mlm,zeroshot_gemini,0.7592,0.8586,0.7911,0.7061,0.8863,0.786,0.7998,0.9409,0.8357,0.7201,0.9409,0.8158,0.9075,0.9272,0.9141,0.9591,0.9272,0.9429,0.6445,0.659,0.6482,0.145,0.6154,0.2347,0.7777,0.8464,0.7973,0.6872,0.913,0.7842,1815,826,173
gliner_finetuned_mlm,zeroshot_gpt,0.7171,0.9359,0.7852,0.6407,0.9328,0.7596,0.9494,0.9713,0.9557,0.9494,0.9715,0.9603,0.9332,0.994,0.9532,0.8857,0.994,0.9367,0.8126,0.8136,0.813,0.0492,0.3158,0.0851,0.8531,0.9287,0.8768,0.7985,0.9616,0.8725,1902,480,76
gliner_finetuned_mlm,zeroshot_mistral,0.715,0.791,0.7402,0.807,0.7544,0.7798,0.984,0.9979,0.9886,0.971,1.0,0.9853,0.9542,0.9936,0.9673,0.9228,0.9936,0.9569,0.9009,0.9019,0.9012,0.1481,0.1053,0.1231,0.8885,0.9211,0.8993,0.9123,0.9254,0.9188,1674,161,135
gliner_finetuned_mlm_email,attr_prompting_claude,0.9191,0.9678,0.9335,0.8818,0.9678,0.9228,0.8202,0.9653,0.8665,0.7473,0.9653,0.8424,0.8482,0.9859,0.8896,0.7447,0.9859,0.8485,0.8338,0.9286,0.8614,0.7692,0.9286,0.8414,0.8553,0.9619,0.8878,0.7747,0.9626,0.8585,4784,1391,186
gliner_finetuned_mlm_email,attr_prompting_deepseek,0.8472,0.998,0.8936,0.7368,0.998,0.8477,0.8925,0.983,0.9203,0.8303,0.983,0.9002,0.9681,0.999,0.9781,0.9388,0.999,0.968,0.9058,0.9629,0.9214,0.8482,0.9629,0.9019,0.9034,0.9857,0.9284,0.8319,0.9852,0.9021,4914,993,74
