Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
KR,KR KPO,Pohang,Pohang,47,1234----,,36.03333333333333,129.36666666666667
KR,KR PTK,Pyeongtaek,Pyeongtaek,41,123--6--,,36.96666666666667,127.1
KR,KR SUK,Samcheok,Samcheok,42,1234----,,37.43333333333333,129.18333333333334
KR,KR SCP,Samcheonpo/Sacheon,Samcheonpo/Sacheon,48,1-3-----,,34.916666666666664,128.06666666666666
KR,KR SWD,Sangwangdeungdo,Sangwangdeungdo,45,1-------,,35.65,126.13333333333334
KR,KR SPO,Seogwipo,Seogwipo,49,1-3-----,,33.233333333333334,126.55
KR,KR SSP,Seongsan-po,Seongsan-po,49,1-3-----,,33.45,126.91666666666667
KR,KR SEL,Seoul,Seoul,11,12345---,,37.516666666666666,126.93333333333334
KR,KR SMA,Shinma,Shinma,46,1-------,,34.43333333333333,126.85
KR,KR SHG,Sinhang/Pohang,Sinhang/Pohang,48,1-3-----,,36.083333333333336,129.55
KR,KR SHO,Sokcho,Sokcho,42,1-3-----,,38.2,128.58333333333334
KR,KR SGG,Songgong,Songgong,46,1-------,,34.833333333333336,126.21666666666667
KR,KR SBU,South Busan,South Busan,26,1-------,,35.083333333333336,129.15
KR,KR SUO,Suwon,Suwon,41,123-----,,37.25,127.23333333333333
KR,KR TAN,Taean-gun,Taean-gun,44,1-3-----,,36.71666666666667,126.26666666666667
KR,KR TGA,Tonghae,Tonghae,42,1-3-----,,37.53333333333333,129.1
KR,KR TYG,Tongyeong,Tongyeong,48,1-3-----,,34.833333333333336,128.41666666666666
KR,KR ULL,Ulleung,Ulleung,47,1-------,,37.46666666666667,130.9
KR,KR USN,Ulsan,Ulsan,31,1234----,,35.53333333333333,129.31666666666666
KR,KR WND,Wando-gun,Wando-gun,46,1-3-----,,34.3,126.75
KR,KR YPD,Yeonpyeongdo,Yeonpyeongdo,28,1-------,,37.65,125.7
KR,KR YOS,Yeosu,Yeosu,46,123-----,RSU,34.75,127.71666666666667
KR,KR YOC,Yochon,Yochon,47,1-3-----,,36.65,128.45
KR,KR YGP,Yonggipo,Yonggipo,28,1-------,,37.95,124.71666666666667
KW,KW SAL,As Salimiyah,As Salimiyah,,1-3-----,,29.333333333333332,48.083333333333336
